0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 22103
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:25 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:26 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 500 2435
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:28 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:28 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:28 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:28:31 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 500 2435
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:15 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:15 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:15 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:15 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:17 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:18 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:18 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
